,FixtureDateAsDate,HomeTeam,AwayTeam,HomeTeamResult,prediction,HomeOdds,DrawOdds,AwayOdds,payoff,weeknum
1981,2018-09-01,Millwall,Swansea City,L,W,2.15,3.2,3.5,-1.0,35
9697,2018-09-01,Brighton & Hove Albion,Fulham,D,W,2.2,3.3,3.25,-1.0,35
1653,2018-09-01,Hull City,Derby County,L,L,2.8,3.2,2.5,2.5,35
9945,2018-09-01,Leicester City,Liverpool,L,L,7.5,4.6,1.4,1.4,35
10173,2018-09-01,Manchester City,Newcastle United,W,W,1.1,9.5,29.0,1.1,35
8418,2018-09-01,Crystal Palace,Southampton,L,W,1.91,3.3,4.0,-1.0,35
9634,2018-09-01,West Ham United,Wolverhampton Wanderers,L,L,2.45,3.3,2.8,2.8,35
8272,2018-09-01,Chelsea,AFC Bournemouth,W,W,1.28,5.5,10.0,1.28,35
712,2018-09-01,Birmingham City,Queens Park Rangers,D,W,1.95,3.3,3.9,-1.0,35
10642,2018-09-01,West Bromwich Albion,Stoke City,W,W,2.05,3.25,3.7,2.05,35
8653,2018-09-01,Everton,Huddersfield Town,D,W,1.5,3.9,7.0,-1.0,35
2576,2018-09-01,Sheffield United,Aston Villa,W,W,2.35,3.1,3.1,2.35,35
339,2018-09-01,Brentford,Nottingham Forest,W,W,1.83,3.7,4.0,1.83,35
6275,2018-09-01,Wigan Athletic,Rotherham United,W,W,1.53,4.2,5.8,1.53,35
2390,2018-09-01,Preston North End,Bolton Wanderers,D,W,1.57,3.7,6.5,-1.0,35
2936,2018-09-01,Reading,Sheffield Wednesday,L,W,2.3,3.2,3.2,-1.0,35
1892,2018-09-02,Ipswich Town,Norwich City,D,L,2.87,3.2,2.5,-1.0,35
1029,2018-09-02,Cardiff City,Arsenal,L,L,6.0,4.0,1.53,1.53,35
10528,2018-09-02,Watford,Tottenham Hotspur,W,L,5.25,4.0,1.6,-1.0,35
536,2018-09-02,Bristol City,Blackburn Rovers,W,W,2.35,3.1,3.1,2.35,35
8064,2018-09-02,Burnley,Manchester United,L,L,5.75,3.6,1.67,1.67,35
713,2018-09-14,Birmingham City,West Bromwich Albion,D,L,3.5,3.2,2.1,-1.0,37
3197,2018-09-15,Blackburn Rovers,Aston Villa,D,L,2.7,3.1,2.65,-1.0,37
974,2018-09-15,Bolton Wanderers,Queens Park Rangers,L,L,2.75,3.2,2.6,2.6,37
567,2018-09-15,Bristol City,Sheffield United,W,L,2.6,3.25,2.7,-1.0,37
340,2018-09-15,Brentford,Wigan Athletic,W,W,1.8,3.75,4.2,1.8,37
2233,2018-09-15,Norwich City,Middlesbrough,W,W,2.9,3.1,2.5,2.9,37
10529,2018-09-15,Watford,Manchester United,L,L,4.0,3.4,1.91,1.91,37
9040,2018-09-15,Newcastle United,Arsenal,L,L,3.8,3.6,1.87,1.87,37
9828,2018-09-15,Huddersfield Town,Crystal Palace,L,L,3.1,3.1,2.4,2.4,37
2391,2018-09-15,Preston North End,Reading,L,W,1.85,3.4,4.4,-1.0,37
5242,2018-09-15,Rotherham United,Derby County,W,L,3.5,3.25,2.1,-1.0,37
2841,2018-09-15,Sheffield Wednesday,Stoke City,D,L,2.9,3.25,2.4,-1.0,37
10289,2018-09-15,Swansea City,Nottingham Forest,D,W,2.2,3.25,3.25,-1.0,37
9160,2018-09-15,AFC Bournemouth,Leicester City,W,W,2.37,3.3,2.9,2.37,37
1982,2018-09-15,Millwall,Leeds United,D,D,2.87,3.25,2.45,,37
10405,2018-09-15,Tottenham Hotspur,Liverpool,L,L,2.9,3.5,2.3,2.3,37
8273,2018-09-15,Chelsea,Cardiff City,W,W,1.18,7.0,19.0,1.18,37
1654,2018-09-15,Hull City,Ipswich Town,W,D,2.2,3.2,3.3,-1.0,37
10174,2018-09-15,Manchester City,Fulham,W,W,1.12,9.0,23.0,1.12,37
3335,2018-09-16,Wolverhampton Wanderers,Burnley,W,W,1.73,3.4,5.25,1.73,37
8654,2018-09-16,Everton,West Ham United,L,W,2.0,3.5,3.5,-1.0,37
9216,2018-09-17,Southampton,Brighton & Hove Albion,D,W,2.1,3.1,3.6,-1.0,38
169,2018-09-18,Aston Villa,Rotherham United,W,W,1.5,4.2,6.5,1.5,38
1422,2018-09-18,Leeds United,Preston North End,W,W,1.95,3.4,3.9,1.95,38
1893,2018-09-18,Ipswich Town,Brentford,D,L,4.2,3.5,1.85,-1.0,38
6276,2018-09-18,Wigan Athletic,Hull City,W,W,2.0,3.6,3.6,2.0,38
9396,2018-09-18,Stoke City,Swansea City,W,W,1.87,3.3,4.25,1.87,38
10643,2018-09-18,West Bromwich Albion,Bristol City,W,W,1.91,3.5,3.9,1.91,38
1209,2018-09-18,Derby County,Blackburn Rovers,D,W,2.25,3.1,3.3,-1.0,38
2191,2018-09-19,Nottingham Forest,Sheffield Wednesday,W,W,1.91,3.4,4.0,1.91,38
2937,2018-09-19,Reading,Norwich City,L,L,2.8,3.2,2.5,2.5,38
1688,2018-09-19,Middlesbrough,Bolton Wanderers,W,W,1.44,4.2,8.5,1.44,38
2577,2018-09-19,Sheffield United,Birmingham City,D,W,1.8,3.4,4.5,-1.0,38
2677,2018-09-19,Queens Park Rangers,Millwall,W,L,2.45,3.1,2.9,-1.0,38
6277,2018-09-21,Wigan Athletic,Bristol City,W,W,2.25,3.4,3.1,2.25,38
9946,2018-09-22,Leicester City,Huddersfield Town,W,W,1.6,3.6,6.5,1.6,38
8419,2018-09-22,Crystal Palace,Newcastle United,D,W,2.1,3.2,3.6,-1.0,38
9429,2018-09-22,Stoke City,Blackburn Rovers,L,W,2.0,3.25,3.8,-1.0,38
2578,2018-09-22,Sheffield United,Preston North End,W,W,1.85,3.5,4.25,1.85,38
1689,2018-09-22,Middlesbrough,Swansea City,D,W,1.67,3.5,5.75,-1.0,38
